Screen Name,Event Action,Sessions
authorization_pin,feed_operations,"102,360"
feed_payment_details_operation,action_operation_repeat,"16,440"
payment_otp,payment_submit,"15,070"
menu_payments,feed_operations,"14,372"
authorization_otp,otp_succeed,"11,954"
payment_contragent_sum,payment_submit,"10,453"
feed_payment_details_operation,payment_start,"8,391"
tab_create_payment,payment_start,"7,967"
payment_contragent_sum,payment_nds,"7,318"
menu_payments,feed_submitted,"7,285"
menu_payments,payment_start,"7,005"
authorization_pin_set,auth_pin_set,"6,677"
chat_dialogs,feed_operations,"6,313"
cards_list,cards_cards_list_open,"6,219"
payment_contragent_sum,feed_operations,"6,170"
menu_payments,feed_drafts,"5,864"
settings,feed_operations,"5,497"
authorization_pin,account_details,"5,072"
main_filters,feed_operations,"5,044"
feed_payment_details_operation,popup_share_operation,"3,899"
analytics_cashflow,feed_operations,"3,872"
authorization_pin_set,feed_operations,"3,699"
chat_messages,chat_message_send,"3,445"
settings,tariff_tap,"3,141"
cards_list,feed_operations,"2,954"
menu_payments,feed_signing,"2,924"
authorization_otp,feed_operations,"2,667"
authorization_login,popup_auth_recovery,"2,153"
application_short,application_start,"1,681"
cards_details,feed_operations,"1,671"
feed_payment_details_unsigned,action_unsigned_sign,"1,622"
feed_payment_details_submitted,feed_operations,"1,595"
chat_dialogs,chat_new_dialog,"1,576"
feed_payment_details_draft,action_draft_send,"1,420"
chat_messages,chat_new_dialog,"1,415"
cards_list,cards_ci_list_open,"1,403"
map_replenish,map_enter,"1,372"
main,feed_operations,"1,357"
menu_payments,action_draft_delete,"1,283"
feed_payment_details_draft,action_draft_delete,"1,269"
feed_payment_details_draft,payment_start,"1,252"
authorization_pin,auth_pin_block,"1,233"
authorization_pin,feed_search_start,"1,233"
menu_payments,account_details,"1,223"
feed_payment_details_draft,action_draft_edit,"1,197"
analytics_categories,feed_operations,"1,137"
rateme,rateme_positive,"1,127"
authorization_pin,feed_search_request,"1,091"
feed_payment_details_draft,feed_operations,"1,090"
analytics_cashflow,account_details,"1,031"
authorization_otp,otp_failed,"1,019"
settings,account_details,935
feed_payment_details_operation,feed_operations,932
feed_payment_details_submitted,action_submitted_cancel,919
payment_photo_sum,payment_submit,919
payment_photo_sum,payment_nds,889
main_filters,account_details,871
feed_payment_details_operation,account_details,847
chat_dialogs,account_details,787
payment_otp,rateme_open,784
authorization_otp,otp_resend,767
integrations_list,account_details,758
authorization_login,recovery_call,741
integrations_list,feed_operations,699
payment_contragent_sum,payment_flow_share_open,676
cards_details,cards_ci_list_open,655
menu_payments,action_unsigned_sign,624
rateme,rateme_close,600
feed_payment_details_draft,feed_submitted,599
analytics_categories,analytics_counterparties,574
feed_payment_details_operation,share_outer_operation,553
cards_details,cards_activate,538
ci_list,feed_operations,521
main,popup_share_operation,515
main_filters,feed_export_preview,515
feed_payment_details_operation,share_self_operation,512
payment_tb,feed_operations,508
authorization_login,feed_operations,492
cards_list,account_details,487
menu_payments,feed_search_start,454
feed_payment_details_unsigned,feed_operations,448
map_replenish,map_choose,446
feed_payment_details_operation,share_email_operation,438
feed_payment_details_submitted,action_submitted_repeat,429
feed_payment_details_submitted,feed_drafts,419
payment_contragent_sum,feed_search_cancel,416
chat_messages,chat_file_send,402
authorization_pin,feed_search_cancel,390
payment_contragent_sum,payment_start_favourite,378
payment_contragent_initial,action_draft_edit,366
menu_payments,feed_search_request,347
payment_contragent_sum,action_draft_edit,346
counterparty_list,feed_operations,337
authorization_pin,popup_share_operation,333
cards_details,cards_cards_list_open,333
payment_photo_gallery,chat_file_choose,332
tariff,feed_operations,317
application_short,application_successful,306
feed_payment_details_operation,feed_search_cancel,297
payment_contragent_sum,payment_flow_share_close,297
menu_payments,action_declined_delete,294
menu_payments,feed_search_cancel,294
feed_payment_details_operation,feed_search_request,278
feed_payment_details_operation,feed_search_start,274
menu_payments,action_submitted_cancel,271
feed_payment_details_signed,action_signed_submit,261
cards_details,account_details,254
feed_payment_details_declined,action_declined_delete,248
authorization_pin_set,account_details,247
feed_payment_details_declined,action_declined_repeat,245
payment_taxes_sum,payment_submit,241
feed_payment_details_submitted,payment_start,238
